2018;09;09;00;00;22.64
2018;09;09;01;00;22.42
2018;09;09;02;00;22.29
2018;09;09;03;00;22.20
2018;09;09;04;00;22.14
2018;09;09;05;00;22.20
2018;09;09;06;00;23.39
2018;09;09;07;00;24.42
2018;09;09;08;00;24.70
2018;09;09;09;00;24.59
2018;09;09;10;00;24.14
2018;09;09;11;00;23.95
2018;09;09;12;00;23.91
2018;09;09;13;00;23.28
2018;09;09;14;00;23.27
2018;09;09;15;00;25.42
2018;09;09;16;00;25.75
2018;09;09;17;00;24.18
2018;09;09;18;00;23.48
2018;09;09;19;00;22.94
2018;09;09;20;00;22.49
2018;09;09;21;00;22.11
2018;09;09;22;00;22.09
2018;09;09;23;00;22.06
2018;09;10;00;00;22.04
2018;09;10;01;00;22.01
2018;09;10;02;00;22.00
2018;09;10;03;00;22.00
2018;09;10;04;00;22.01
2018;09;10;05;00;22.04
2018;09;10;06;00;21.49
2018;09;10;07;00;24.08
2018;09;10;08;00;25.70
2018;09;10;09;00;26.35
2018;09;10;10;00;26.92
2018;09;10;11;00;25.27
2018;09;10;12;00;24.69
2018;09;10;13;00;25.48
2018;09;10;14;00;24.04
2018;09;10;15;00;23.96
2018;09;10;16;00;23.71
2018;09;10;17;00;23.11
2018;09;10;18;00;22.72
2018;09;10;19;00;22.60
2018;09;10;20;00;22.50
2018;09;10;21;00;22.36
2018;09;10;22;00;22.23
2018;09;10;23;00;22.04
2018;09;11;00;00;21.89
2018;09;11;01;00;21.76
2018;09;11;02;00;21.68
2018;09;11;03;00;21.66
2018;09;11;04;00;21.62
2018;09;11;05;00;21.60
2018;09;11;06;00;21.62
2018;09;11;07;00;23.93
2018;09;11;08;00;25.27
2018;09;11;09;00;26.47
2018;09;11;10;00;27.58
2018;09;11;11;00;26.95
2018;09;11;12;00;26.46
2018;09;11;13;00;25.56
2018;09;11;14;00;24.61
2018;09;11;15;00;24.11
2018;09;11;16;00;23.76
2018;09;11;17;00;23.72
2018;09;11;18;00;23.12
2018;09;11;19;00;22.96
2018;09;11;20;00;22.86
2018;09;11;21;00;22.70
2018;09;11;22;00;22.75
2018;09;11;23;00;22.77
2018;09;12;00;00;22.61
2018;09;12;01;00;22.45
2018;09;12;02;00;22.49
2018;09;12;03;00;22.54
2018;09;12;04;00;22.32
2018;09;12;05;00;22.15
2018;09;12;06;00;22.65
2018;09;12;07;00;25.13
2018;09;12;08;00;26.53
2018;09;12;09;00;26.21
2018;09;12;10;00;26.39
2018;09;12;11;00;28.31
2018;09;12;12;00;27.53
2018;09;12;13;00;28.44
2018;09;12;14;00;29.24
2018;09;12;15;00;28.24
2018;09;12;16;00;27.92
2018;09;12;17;00;27.17
2018;09;12;18;00;25.21
2018;09;12;19;00;24.13
2018;09;12;20;00;23.44
2018;09;12;21;00;23.18
2018;09;12;22;00;23.20
2018;09;12;23;00;23.22
2018;09;13;00;00;23.42
2018;09;13;01;00;23.59
2018;09;13;02;00;23.83
2018;09;13;03;00;23.47
2018;09;13;04;00;23.19
2018;09;13;05;00;22.27
2018;09;13;06;00;21.75
2018;09;13;07;00;23.57
2018;09;13;08;00;23.69
2018;09;13;09;00;24.86
2018;09;13;10;00;26.51
2018;09;13;11;00;28.23
2018;09;13;12;00;27.74
2018;09;13;13;00;27.40
2018;09;13;14;00;26.94
2018;09;13;15;00;26.59
2018;09;13;16;00;26.36
2018;09;13;17;00;26.54
2018;09;13;18;00;25.11
2018;09;13;19;00;24.04
2018;09;13;20;00;23.50
2018;09;13;21;00;23.40
2018;09;13;22;00;23.51
2018;09;13;23;00;23.60
2018;09;14;00;00;23.54
2018;09;14;01;00;23.30
2018;09;14;02;00;23.05
2018;09;14;03;00;22.88
2018;09;14;04;00;22.69
2018;09;14;05;00;22.50
2018;09;14;06;00;22.56
2018;09;14;07;00;24.74
2018;09;14;08;00;26.03
2018;09;14;09;00;27.24
2018;09;14;10;00;28.38
2018;09;14;11;00;29.27
2018;09;14;12;00;29.96
2018;09;14;13;00;29.91
2018;09;14;14;00;28.16
2018;09;14;15;00;27.18
2018;09;14;16;00;25.87
2018;09;14;17;00;25.01
2018;09;14;18;00;23.55
2018;09;14;19;00;22.91
2018;09;14;20;00;22.57
2018;09;14;21;00;22.55
2018;09;14;22;00;22.57
2018;09;14;23;00;22.36
2018;09;15;00;00;22.51
2018;09;15;01;00;21.78
2018;09;15;02;00;21.46
2018;09;15;03;00;21.37
2018;09;15;04;00;20.81
2018;09;15;05;00;20.55
2018;09;15;06;00;21.45
2018;09;15;07;00;24.78
2018;09;15;08;00;26.46
2018;09;15;09;00;27.80
2018;09;15;10;00;28.92
2018;09;15;11;00;28.52
2018;09;15;12;00;27.96
2018;09;15;13;00;27.40
2018;09;15;14;00;26.90
2018;09;15;15;00;26.44
2018;09;15;16;00;25.58
2018;09;15;17;00;24.89
2018;09;15;18;00;23.71
2018;09;15;19;00;23.28
2018;09;15;20;00;23.05
2018;09;15;21;00;22.74
2018;09;15;22;00;22.60
2018;09;15;23;00;22.45
2018;09;16;00;00;22.33
2018;09;16;01;00;22.21
2018;09;16;02;00;22.08
2018;09;16;03;00;22.04
2018;09;16;04;00;21.92
2018;09;16;05;00;21.67
2018;09;16;06;00;21.59
2018;09;16;07;00;22.87
2018;09;16;08;00;23.76
2018;09;16;09;00;25.54
2018;09;16;10;00;27.07
2018;09;16;11;00;27.60
2018;09;16;12;00;28.21
2018;09;16;13;00;28.36
2018;09;16;14;00;27.95
2018;09;16;15;00;27.40
2018;09;16;16;00;26.29
2018;09;16;17;00;24.72
2018;09;16;18;00;23.19
2018;09;16;19;00;23.24
2018;09;16;20;00;23.08
2018;09;16;21;00;22.79
2018;09;16;22;00;22.68
2018;09;16;23;00;22.59
